partNumber,series,description
16164,0102,1.27X2.54 PIN HEADER DIP 180° 1X18PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
16178,0102,1.27X2.54 PIN HEADER DIP 180° 1X19PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
16179,0102,1.27X2.54 PIN HEADER DIP 180° 1X20PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
16180,0102,1.27X2.54 PIN HEADER DIP 180° 1X21PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16181,0102,1.27X2.54 PIN HEADER DIP 180° 1X22PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
16182,0102,1.27X2.54 PIN HEADER DIP 180° 1X23PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
16183,0102,1.27X2.54 PIN HEADER DIP 180° 1X24PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
16184,0102,1.27X2.54 PIN HEADER DIP 180° 1X26PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
16186,0102,1.27X2.54 PIN HEADER DIP 180° 1X27PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
16195,0102,1.27X2.54 PIN HEADER DIP 180° 1X28PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
16196,0102,1.27X2.54 PIN HEADER DIP 180° 1X29PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
16197,0102,1.27X2.54 PIN HEADER DIP 180° 1X30PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
16198,0102,1.27X2.54 PIN HEADER DIP 180° 1X31PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
16199,0102,1.27X2.54 PIN HEADER DIP 180° 1X33PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
16200,0102,1.27X2.54 PIN HEADER DIP 180° 1X34PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
16201,0102,1.27X2.54 PIN HEADER DIP 180° 1X35PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
16202,0102,1.27X2.54 PIN HEADER DIP 180° 1X36PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
16203,0102,1.27X2.54 PIN HEADER DIP 180° 1X37PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
16204,0102,1.27X2.54 PIN HEADER DIP 180° 1X38PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
16205,0102,1.27X2.54 PIN HEADER DIP 180° 1X39PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
16206,0102,1.27X2.54 PIN HEADER DIP 180° 1X40PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
16208,0102,1.27X2.54 PIN HEADER DIP 180° 2X03PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16209,0102,1.27X2.54 PIN HEADER DIP 180° 2X04PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16210,0102,1.27X2.54 PIN HEADER DIP 180° 2X05PIN HEIGHT=2.54 GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16211,0102,1.27X2.54 PIN HEADER DIP 180° 2X07PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16212,0102,1.27X2.54 PIN HEADER DIP 180° 2X08PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16213,0102,1.27X2.54 PIN HEADER DIP 180° 2X09PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16214,0102,1.27X2.54 PIN HEADER DIP 180° 2X10PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16215,0102,1.27X2.54 PIN HEADER DIP 180° 2X11PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16216,0102,1.27X2.54 PIN HEADER DIP 180° 2X13PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16217,0102,1.27X2.54 PIN HEADER DIP 180° 2X14PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16218,0102,1.27X2.54 PIN HEADER DIP 180° 2X15PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16219,0102,1.27X2.54 PIN HEADER DIP 180° 2X16PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16220,0102,1.27X2.54 PIN HEADER DIP 180° 2X17PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16221,0102,1.27X2.54 PIN HEADER DIP 180° 2X18PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16222,0102,1.27X2.54 PIN HEADER DIP 180° 2X19PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16223,0102,1.27X2.54 PIN HEADER DIP 180° 2X20PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16224,0102,1.27X2.54 PIN HEADER DIP 180° 2X21PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16225,0102,1.27X2.54 PIN HEADER DIP 180° 2X22PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16226,0102,1.27X2.54 PIN HEADER DIP 180° 2X23PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16227,0102,1.27X2.54 PIN HEADER DIP 180° 2X24PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16228,0102,1.27X2.54 PIN HEADER DIP 180° 2X25PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16229,0102,1.27X2.54 PIN HEADER DIP 180° 2X27PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16230,0102,1.27X2.54 PIN HEADER DIP 180° 2X28PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16231,0102,1.27X2.54 PIN HEADER DIP 180° 2X29PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16232,0102,1.27X2.54 PIN HEADER DIP 180° 2X30PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16233,0102,1.27X2.54 PIN HEADER DIP 180° 2X31PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16234,0102,1.27X2.54 PIN HEADER DIP 180° 2X32PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16235,0102,1.27X2.54 PIN HEADER DIP 180° 2X33PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16236,0102,1.27X2.54 PIN HEADER DIP 180° 2X34PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16237,0102,1.27X2.54 PIN HEADER DIP 180° 2X35PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16238,0102,1.27X2.54 PIN HEADER DIP 180° 2X36PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16239,0102,1.27X2.54 PIN HEADER DIP 180° 2X37PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16240,0102,1.27X2.54 PIN HEADER DIP 180° 2X38PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16241,0102,1.27X2.54 PIN HEADER DIP 180° 2X39PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16242,0102,1.27X2.54 PIN HEADER DIP 180° 2X40PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16245,0102,1.27X2.54 PIN HEADER DIP 180° 1X05 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16246,0102,1.27X2.54 PIN HEADER DIP 180° 1X09 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16247,0102,1.27X2.54 PIN HEADER DIP 180° 1X10 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16248,0102,1.27X2.54 PIN HEADER DIP 180° 1X11 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16249,0102,1.27X2.54 PIN HEADER DIP 180° 1X12 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16250,0102,1.27X2.54 PIN HEADER DIP 180° 1X13 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16251,0102,1.27X2.54 PIN HEADER DIP 180° 1X14 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16252,0102,1.27X2.54 PIN HEADER DIP 180° 1X15 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16253,0102,1.27X2.54 PIN HEADER DIP 180° 1X16 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16254,0102,1.27X2.54 PIN HEADER DIP 180° 1X17 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16255,0102,1.27X2.54 PIN HEADER DIP 180° 1X18 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16256,0102,1.27X2.54 PIN HEADER DIP 180° 1X19 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16257,0102,1.27X2.54 PIN HEADER DIP 180° 1X20 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16258,0102,1.27X2.54 PIN HEADER DIP 180° 1X21 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16259,0102,1.27X2.54 PIN HEADER DIP 180° 1X22 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16260,0102,1.27X2.54 PIN HEADER DIP 180° 1X23 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16261,0102,1.27X2.54 PIN HEADER DIP 180° 1X24 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16262,0102,1.27X2.54 PIN HEADER DIP 180° 1X25 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16263,0102,1.27X2.54 PIN HEADER DIP 180° 1X26 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16264,0102,1.27X2.54 PIN HEADER DIP 180° 1X27 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16265,0102,1.27X2.54 PIN HEADER DIP 180° 1X28 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16266,0102,1.27X2.54 PIN HEADER DIP 180° 1X29 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16267,0102,1.27X2.54 PIN HEADER DIP 180° 1X30 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16268,0102,1.27X2.54 PIN HEADER DIP 180° 1X31 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16269,0102,1.27X2.54 PIN HEADER DIP 180° 1X32 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16270,0102,1.27X2.54 PIN HEADER DIP 180° 1X33 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16271,0102,1.27X2.54 PIN HEADER DIP 180° 1X34 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16272,0102,1.27X2.54 PIN HEADER DIP 180° 1X35 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16273,0102,1.27X2.54 PIN HEADER DIP 180° 1X36 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16274,0102,1.27X2.54 PIN HEADER DIP 180° 2X03PIN HEIGHT=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16275,0102,1.27X2.54 PIN HEADER DIP 180° 1X38 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16276,0102,1.27X2.54 PIN HEADER DIP 180° 1X39 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16277,0102,1.27X2.54 PIN HEADER DIP 180° 1X40 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16278,0102,1.27X2.54 PIN HEADER DIP 180° 1X37 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16294,0102,1.27X2.54 PIN HEADER DIP 180° 2X20PIN HEIGHT=1.7MM  TL=7.1MM (2.8+1.7+DIP2.6)    GOLD FLASH WITHSTAND HIGH TEMPERATURE 　
07886,0102,1.27X2.54 PIN HEADER DIP 180° 1X25PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
00002,0102,1.27X2.54 PIN HEADER DIP 180° 1X03 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
00003,0102,1.27X2.54 PIN HEADER DIP 180° 1X04 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
00004,0102,1.27X2.54 PIN HEADER DIP 180° 1X06 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
00005,0102,1.27X2.54 PIN HEADER DIP 180° 1X08 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
00006,0102,1.27X2.54 PIN HEADER DIP 180° 1X05PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
00008,0102,1.27X2.54 PIN HEADER DIP 180° 1X07 H=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
00009,0102,1.27X2.54 PIN HEADER DIP 180° 1X10PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
00010,0102,1.27X2.54 PIN HEADER DIP 180° 1X11PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
00011,0102,1.27X2.54 PIN HEADER DIP 180° 1X12PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
00016,0102,1.27X2.54 PIN HEADER DIP 180° 1X16PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
00018,0102,1.27X2.54 PIN HEADER DIP 180° 1X32PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
00023,0102,1.27X2.54 PIN HEADER DIP 180° 1X03PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
00025,0102,1.27X2.54 PIN HEADER DIP 180° 1X06PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
00026,0102,1.27X2.54 PIN HEADER DIP 180° 1X08PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
00039,0102,1.27X2.54 PIN HEADER DIP 180° 2X30PIN HEIGHT=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
00040,0102,1.27X2.54 PIN HEADER DIP 180° 2X40PIN HEIGHT=1.7MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
00041,0102,1.27X2.54 PIN HEADER DIP 180° 2X06PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
00042,0102,1.27X2.54 PIN HEADER DIP 180° 2X12PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
00043,0102,1.27X2.54 PIN HEADER DIP 180° 2X26PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
11277,0103,1.27X2.54 FEMALE HEADER DIP 180° H=8.5MM1X27PIN GOLD FLASH  WITHSTAND HIGH TEMPERATURE TUBE　
11278,0103,1.27X2.54 FEMALE HEADER DIP 180° H=8.5MM1X34PIN GOLD FLASH  WITHSTAND HIGH TEMPERATURE TUBE　
13806,0103,1.27X2.54 FEMALE HEADER DIP 180° H=8.5MM2X20PIN GOLD FLASH  WITHSTAND HIGH TEMPERATURE TUBE　
21460,0103,1.27X2.54 FEMALE HEADER DIP 180° H=8.5MM1X05PIN GOLD FLASH  WITHSTAND HIGH TEMPERATURE TUBE　
22150,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM1X06 PIN H=6.3MM  WITHOUT POST GOLD FLASH   WITH CAP  TUBE　
22151,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM1X08 PIN H=6.3MM  WITHOUT POST GOLD FLASH   WITH CAP  TUBE　
22152,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM1X10 PIN H=6.3MM  WITHOUT POST GOLD FLASH   WITH CAP  TUBE　
16709,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X03PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16710,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X04PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16711,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X07PIN ITHOUT POST GOLD FLASH TUBE　
16712,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X08PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16713,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X09PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16714,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X10PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16715,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X11PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16716,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X12PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16717,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X14PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16718,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X15PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16719,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X16PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16720,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X17PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16721,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X18PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16722,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X19PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16723,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X21PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16724,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X22PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16725,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X23PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16726,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X24PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16727,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X25PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16728,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X26PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16729,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X27PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16730,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X28PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16731,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X29PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16732,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X30PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16733,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X31PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16734,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X32PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16735,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X33PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16736,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X34PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16737,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X35PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16738,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X36PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16739,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X37PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16740,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X38PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16741,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X39PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
16742,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X40PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
00119,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X06PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
00120,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X05PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
00121,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X13PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
00122,0105,1.27X2.54 FEMALE HEADER SMT STRAIGHT H=5.95MM/6.3MM2X20PIN H=5.95MM  WITHOUT POST GOLD FLASH TUBE　
00131,0106,1.27X1.27 PIN HEADER DIP 180° HEIGHT=2.5MM2X03PIN GOLD FLASH WITHSTAND HIGH TEMPERATURE　
00132,0106,1.27X1.27 PIN HEADER DIP 180° HEIGHT=2.5MM2X07PIN GOLD FLASH WITHSTAND HIGH TEMPERATURE　
00133,0106,1.27X1.27 PIN HEADER DIP 180° HEIGHT=2.5MM2X10PIN GOLD FLASH WITHSTAND HIGH TEMPERATURE　
00134,0106,1.27X1.27 PIN HEADER DIP 180° HEIGHT=2.5MM2X15PIN GOLD FLASH WITHSTAND HIGH TEMPERATURE　
00135,0106,1.27X1.27 PIN HEADER DIP 180° HEIGHT=2.5MM2X20PIN GOLD FLASH WITHSTAND HIGH TEMPERATURE　
00136,0106,1.27X1.27 PIN HEADER DIP 180° HEIGHT=2.5MM2X25PIN GOLD FLASH WITHSTAND HIGH TEMPERATURE　
00137,0106,1.27X1.27 PIN HEADER DIP 180° HEIGHT=2.5MM2X50PIN GOLD FLASH WITHSTAND HIGH TEMPERATURE　
00142,0106,1.27X1.27 PIN HEADER DIP 180° HEIGHT=2.5MM2X04PIN GOLD FLASH WITHSTAND HIGH TEMPERATURE　
00143,0106,1.27X1.27 PIN HEADER DIP 180° HEIGHT=2.5MM2X05PIN GOLD FLASH WITHSTAND HIGH TEMPERATURE　
00144,0106,1.27X1.27 PIN HEADER DIP 180° HEIGHT=2.5MM2X06PIN GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16743,0106,1.27X1.27 PIN HEADER DIP 180° HEIGHT=2.5MM2X02PIN GOLD FLASH WITHSTAND HIGH TEMPERATURE　
