partNumber,series,description
06565,0101,1.27 PIN HEADER DIP 180°SINGLE ROW 1.27X2.54MM 1X15PIN  H=2.5MM TL=12.79MM (5.84+2.5+DIP4.45) GOLD FLASH  WITHSTAND HIGH TEMPERATURE BAG PACKAGE　
11276,0101,1.27 PIN HEADER DIP 180°SINGLE ROW 1X27PIN  H=2.54MM TL=11.43MM (5.84+2.54+DIP3.05) GOLD FLASH  WITHSTAND HIGH TEMPERATURE (BAG)　
21050,0101,1.27 PIN HEADER DIP 180°SINGLE ROW 1.27X2.54  H=2.5  1X20PIN   TL=8.8MM(4.0+2.5+DIP2.3) GOLD FLASH  WITHSTAND HIGH TEMPERATURE　
21054,0101,1.27 PIN HEADER DIP 180°SINGLE ROW 1.27X2.54  H=2.5  1X15PIN  TL=8.8MM(4.0+2.5+DIP2.3) GOLD FLASH  WITHSTAND HIGH TEMPERATURE　
22139,0101,1.27 PIN HEADER DIP 180°SINGLE ROW 1X06PIN  H=2.54MM TL=11.43MM (5.84+2.54+DIP3.05) GOLD FLASH  WITHSTAND HIGH TEMPERATURE (BAG)　
22140,0101,1.27 PIN HEADER DIP 180°SINGLE ROW 1X08PIN  H=2.54MM TL=11.43MM (5.84+2.54+DIP3.05) GOLD FLASH  WITHSTAND HIGH TEMPERATURE (BAG)　
22141,0101,1.27 PIN HEADER DIP 180°SINGLE ROW 1X10PIN  H=2.54MM TL=11.43MM (5.84+2.54+DIP3.05) GOLD FLASH  WITHSTAND HIGH TEMPERATURE (BAG)　
21970,0102,1.27X2.54 PIN HEADER DIP 180° 2X05PIN H=2.54MM TL=8.0MM (2.5+2.5+DIP3.0) GOLD FLASH  WITHSTAND HIGH TEMPERATURE (BAG)　
21597,0102,1.27X2.54 PIN HEADER DIP 180° 2X05PIN H=2.54MM TL=11.43MM (5.84+2.54+DIP3.05) GOLD FLASH  WITHSTAND HIGH TEMPERATURE (BAG)　
20029,0102,1.27X2.54 PIN HEADER DIP 180° 1X10 H=2.54 TL=11.64MM (6+2.54+DIP3.1) GOLD FLASH  WITHSTAND HIGH TEMPERATURE　
18890,0102,1.27X2.54 PIN HEADER DIP 180° 2X50PIN HEIGHT=2.54MM GOLD FLASH WITHSTAND HIGH TEMPERATURE　
16155,0102,1.27X2.54 PIN HEADER DIP 180° 1X04PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
16156,0102,1.27X2.54 PIN HEADER DIP 180° 1X07PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
16157,0102,1.27X2.54 PIN HEADER DIP 180° 1X09PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
16158,0102,1.27X2.54 PIN HEADER DIP 180° 1X13PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
16159,0102,1.27X2.54 PIN HEADER DIP 180° 1X14PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
16161,0102,1.27X2.54 PIN HEADER DIP 180° 1X15PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
16163,0102,1.27X2.54 PIN HEADER DIP 180° 1X17PIN HEIGHT=2.54MM GOLD FLASH HIGH TEMPERATURE　
