PROJ-ADAF-0014-STAN-01;HEAD-I01-X-PI01-01;-;-;;PINHD-1X1;1X01;PIN HEADER;;
PROJ-ADAF-0091-STAN-01;CAPC-0805-X-NF100-V50;C1;C1;0.1uF;C-USC0805K;C0805K;CAPACITOR, American symbol;;
PROJ-ADAF-0091-STAN-01;CAPC-0805-X-NF100-V50;C3;C3;0.1uF;C-USC0805K;C0805K;CAPACITOR, American symbol;;
PROJ-ADAF-0091-STAN-01;CAPC-0805-X-NF100-V50;C4;C4;0.1uF;C-USC0805K;C0805K;CAPACITOR, American symbol;;
PROJ-ADAF-0091-STAN-01;CAPC-0805-X-PF15-01;C5;C5;15pF;C-USC0805K;C0805K;CAPACITOR, American symbol;;
PROJ-ADAF-0091-STAN-01;CAPC-0805-X-PF15-01;C6;C6;15pF;C-USC0805K;C0805K;CAPACITOR, American symbol;;
PROJ-ADAF-0091-STAN-01;LEDS-0805-G-STAN-01;D1;D1;;LEDCHIPLED_0805;CHIPLED_0805;LED;;
PROJ-ADAF-0091-STAN-01;LEDS-0805-G-STAN-01;D2;D2;Green;LEDCHIPLED_0805;CHIPLED_0805;LED;;
PROJ-ADAF-0091-STAN-01;HEAD-I01-X-PI06-01;JA1;JA1;;PINHD-1X6CB;1X06-CLEANBIG;PIN HEADER;;
PROJ-ADAF-0091-STAN-01;HEAD-I01-X-PI08-01;JD1;JD1;;PINHD-1X8CLEANBIG;1X08-CLEANBIG;PIN HEADER;;
PROJ-ADAF-0091-STAN-01;HEAD-I01-X-PI08-01;JD2;JD2;;PINHD-1X8CLEANBIG;1X08-CLEANBIG;PIN HEADER;;
PROJ-ADAF-0091-STAN-01;HEAD-I01-X-PI2X03-01;JP3;JP3;;PINHD-2X3;2X03;PIN HEADER;;
PROJ-ADAF-0091-STAN-01;HEAD-I01-X-PI04-01;JP4;JP4;;PINHD-1X4CB;1X04-CB;PIN HEADER;;
PROJ-ADAF-0091-STAN-01;RESE-0805-X-O103-01;R1;R1;10K;R-US_R0805;R0805;RESISTOR, American symbol;;
PROJ-ADAF-0091-STAN-01;RESE-0805-X-O102-01;R2;R2;1.0 K;R-US_R0805;R0805;RESISTOR, American symbol;;
PROJ-ADAF-0091-STAN-01;RESE-0805-X-O102-01;R3;R3;1.0 K;R-US_R0805;R0805;RESISTOR, American symbol;;
PROJ-ADAF-0091-STAN-01;RESE-0805-X-O102-01;R4;R4;1K;R-US_R0805;R0805;RESISTOR, American symbol;;
PROJ-ADAF-0091-STAN-01;RESE-0805-X-O102-01;R5;R5;1.0 K;R-US_R0805;R0805;RESISTOR, American symbol;;
PROJ-ADAF-0091-STAN-01;RESE-0805-X-O102-01;R6;R6;1.0 K;R-US_R0805;R0805;RESISTOR, American symbol;;
PROJ-ADAF-0091-STAN-01;LEDS-0805-G-STAN-01;RX;RX;Green;LEDCHIPLED_0805;CHIPLED_0805;LED;;
PROJ-ADAF-0091-STAN-01;BUTA-6060-X-STAN-01;S1;S1;EVQQ2;EVQQ2;EVQ-Q2;SMT 6mm switch, EVQQ2 series;;
PROJ-ADAF-0091-STAN-01;LEDS-0805-G-STAN-01;TX;TX;Green;LEDCHIPLED_0805;CHIPLED_0805;LED;;
PROJ-ADAF-0163-STAN-01;CAPC-0805-X-UF10-V25;C4;C4;10UF;CAP_CERAMIC_0805;_0805;Ceramic Capacitors;;
